titulo,url,data_extracao
Qual é a fortuna de Donald Trump? Ranking da Forbes mostra patrimônio do presidente,https://www.infomoney.com.br/mundo/qual-e-a-fortuna-de-donald-trump-ranking-da-forbes-mostra-patrimonio-do-presidente/,2026-03-26T22:37:12.192482
Temporada de balanços do 4T25 em destaque: veja ações e setores para ficar de olho,https://www.infomoney.com.br/mercados/temporada-de-balancos-do-4t25-em-destaque-veja-acoes-e-setores-para-ficar-de-olho/,2026-03-26T22:37:12.192482
"A gente não vende ilusão mas tem oportunidade, diz trader sobre operação automatizada",https://www.infomoney.com.br/mercados/automacao-no-trade-plano-da-trade2go-para-resultados-consistentes/,2026-03-26T22:37:12.192482
"XP: petróleo mais alto gera temor de ""estourar"" capex da rodovias; como ações reagem?",https://www.infomoney.com.br/mercados/xp-petroleo-mais-alto-gera-temor-de-estourar-capex-da-rodovias-como-acoes-reagem/,2026-03-26T22:37:12.192482
Ações da Meta caem quase 8% após derrota dupla na Justiça dos EUA,https://www.infomoney.com.br/mercados/acoes-da-meta-caem-quase-8-apos-derrota-dupla-na-justica-dos-eua/,2026-03-26T22:37:12.192482
"Ibovespa fecha em queda de 1,45% com dúvidas sobre desfecho no Oriente Médio",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-145-com-duvidas-sobre-desfecho-no-oriente-medio/,2026-03-26T22:37:12.192482
"Ibovespa fecha com baixa robusta, em dia de IPCA-15 e pessimismo com a guerra",https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-26032026/,2026-03-26T22:37:12.192482
Bolsas de NY caem com guerra prolongada e Nasdaq entra em território de correção,https://www.infomoney.com.br/mercados/wall-street-cai-com-incerteza-da-reducao-das-tensoes-no-oriente-medio/,2026-03-26T22:37:12.192482
"AMER3: Americanas salta 12% após pedir fim da RJ, vender ativos e divulgar resultados",https://www.infomoney.com.br/mercados/americanas-amer3-acao-salta-15-apos-pedir-fim-da-rj-vender-ativos-e-divulgar-resultados/,2026-03-26T22:37:12.192482
Ações da Ser Educacional sobem 15% e da Cruzeiro do Sul caem 10% após 4T25; entenda,https://www.infomoney.com.br/mercados/acoes-da-ser-educacional-sobem-16-e-da-cruzeiro-do-sul-caem-8-apos-4t25-entenda/,2026-03-26T22:37:12.192482
"JBS (JBSS32): diversificação e resiliência sustentam balanço e ação salta 5,65%",https://www.infomoney.com.br/mercados/jbs-jbss32-diversificacao-e-resiliencia-sustentam-balanco-e-acao-salta-apos-4t/,2026-03-26T22:37:12.192482
